Mod:Item:MetaData, Localized Name
minecraft:stone, Pedra
minecraft:grass, Bloco de Grama
minecraft:dirt:0, Terra
minecraft:dirt:2, Podzol
minecraft:cobblestone, Pedregulho
minecraft:planks:0, Tábuas de Carvalho
minecraft:planks:1, Tábuas de Pinheiro
minecraft:planks:2, Tábuas de Eucalipto
minecraft:planks:3, Tábuas de Madeira da Selva
minecraft:planks:4, Tábuas de Acácia
minecraft:planks:5, Tábuas de Carvalho Escuro
minecraft:sapling:0, Muda de Carvalho
minecraft:sapling:1, Muda de Pinheiro
minecraft:sapling:2, Muda de Eucalipto
minecraft:sapling:3, Muda de Árvore da Selva
minecraft:sapling:4, Muda de Acácia
minecraft:sapling:5, Muda de Carvalho Escuro
minecraft:bedrock, Rocha Matriz
minecraft:flowing_water, Água
minecraft:water, Água
minecraft:flowing_lava, Lava
minecraft:lava, Lava
minecraft:sand:0, Areia
minecraft:sand:1, Areia Vermelha
minecraft:gravel, Cascalho
minecraft:gold_ore, Minério de Ouro
minecraft:iron_ore, Minério de Ferro
minecraft:coal_ore, Minério de Carvão
minecraft:log:0, Madeira de Carvalho
minecraft:log:1, Madeira de Pinheiro
minecraft:log:2, Madeira de Eucalipto
minecraft:log:3, Madeira da Selva
minecraft:leaves:0, Folhas de Carvalho
minecraft:leaves:1, Folhas de Pinheiro
minecraft:leaves:2, Folhas de Eucalipto
minecraft:leaves:3, Folhas da Selva
minecraft:sponge, Esponja
minecraft:glass, Vidro
minecraft:lapis_ore, Minério de Lápis-Lazúli
minecraft:lapis_block, Bloco de Lápis-Lazúli
minecraft:dispenser, Ejetor
minecraft:sandstone:0, Arenito
minecraft:sandstone:1, Arenito Talhado
minecraft:sandstone:2, Arenito Liso
minecraft:noteblock, Bloco de Nota Musical
minecraft:golden_rail, Trilho Elétrico
minecraft:detector_rail, Trilho Detector
minecraft:sticky_piston, Pistão Grudento
minecraft:web, Teia
minecraft:tallgrass:1, Grama
minecraft:tallgrass:2, Samambaia
minecraft:deadbush, Arbusto Morto
minecraft:piston, Pistão
minecraft:wool:0, Lã
minecraft:wool:1, Lã Laranja
minecraft:wool:2, Lã Magenta
minecraft:wool:3, Lã Azul Claro
minecraft:wool:4, Lã Amarela
minecraft:wool:5, Lã Verde Limão
minecraft:wool:6, Lã Rosa
minecraft:wool:7, Lã Cinza
minecraft:wool:8, Lã Cinza Claro
minecraft:wool:9, Lã Ciano
minecraft:wool:10, Lã Lilás
minecraft:wool:11, Lã Azul
minecraft:wool:12, Lã Marrom
minecraft:wool:13, Lã Verde
minecraft:wool:14, Lã Vermelha
minecraft:wool:15, Lã Preta
minecraft:yellow_flower:0, Dente-de-Leão
minecraft:red_flower:0, Papoula
minecraft:red_flower:1, Orquídea Azul
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Tulipa Vermelha
minecraft:red_flower:5, Tulipa Laranja
minecraft:red_flower:6, Tulipa Branca
minecraft:red_flower:7, Tulipa Rosa
minecraft:red_flower:8, Margarida
minecraft:brown_mushroom, Cogumelo
minecraft:red_mushroom, Cogumelo
minecraft:gold_block, Bloco de Ouro
minecraft:iron_block, Bloco de Ferro
minecraft:stone_slab:0, Laje de Pedra
minecraft:stone_slab:1, Laje de Arenito
minecraft:stone_slab:3, Laje de Pedregulho
minecraft:stone_slab:4, Laje de Tijolos
minecraft:stone_slab:5, Laje de Tijolos de Pedra
minecraft:stone_slab:6, Laje de Tijolos do Nether
minecraft:stone_slab:7, Laje de Quartzo
minecraft:brick_block, Tijolos
minecraft:tnt, Dinamite
minecraft:bookshelf, Estante
minecraft:mossy_cobblestone, Pedra com Musgo
minecraft:obsidian, Obsidiana
minecraft:torch, Tocha
minecraft:fire, Fogo
minecraft:mob_spawner:0, Invocador de Monstros
minecraft:oak_stairs, Escadas de Carvalho
minecraft:chest, Baú
minecraft:diamond_ore, Minério de Diamante
minecraft:diamond_block, Bloco de Diamante
minecraft:crafting_table, Bancada de Trabalho
minecraft:farmland, Terra Arada
minecraft:furnace, Fornalha
minecraft:lit_furnace, Fornalha
minecraft:ladder, Escada
minecraft:rail, Trilho
minecraft:stone_stairs, Escadas de Pedra
minecraft:lever, Alavanca
minecraft:stone_pressure_plate, Placa de Pressão
minecraft:wooden_pressure_plate, Placa de Pressão
minecraft:redstone_ore, Minério de Redstone
minecraft:redstone_torch, Tocha de Redstone
minecraft:stone_button, Botão
minecraft:snow_layer:0, Neve
minecraft:ice, Gelo
minecraft:snow, Neve
minecraft:cactus, Cacto
minecraft:clay, Argila
minecraft:jukebox, Jukebox
minecraft:fence, Cerca
minecraft:pumpkin, Abóbora
minecraft:netherrack, Rocha do Nether
minecraft:soul_sand, Areia de Almas
minecraft:glowstone, Pedra Luminosa
minecraft:portal, Portal
minecraft:lit_pumpkin, Abóbora de Halloween
minecraft:stained_glass:0, Vidro Tingido de Branco
minecraft:stained_glass:1, Vidro Tingido de Laranja
minecraft:stained_glass:2, Vidro Tingido de Magenta
minecraft:stained_glass:3, Vidro Tingido de Azul Claro
minecraft:stained_glass:4, Vidro Tingido de Amarelo
minecraft:stained_glass:5, Vidro Tingido de Verde Limão
minecraft:stained_glass:6, Vidro Tingido de Rosa
minecraft:stained_glass:7, Vidro Tingido de Cinza
minecraft:stained_glass:8, Vidro Tingido de Cinza Claro
minecraft:stained_glass:9, Vidro Tingido de Ciano
